complaint_id,state,district,latitude,longitude,issue_type,severity,status,date
1,Delhi,New Delhi,28.574025464197007,77.16330492182267,Streetlight Failure,Critical,In Progress,2025-12-18
2,Delhi,New Delhi,28.578941662395604,77.20551089730155,Sewage Leakage,Medium,Open,2025-06-30
3,Delhi,New Delhi,28.64420807395778,77.2204111167917,Water Supply Issue,Medium,Resolved,2025-11-23
4,Delhi,New Delhi,28.577945458277696,77.22141346369355,Traffic Congestion,Medium,Resolved,2025-07-05
5,Delhi,New Delhi,28.612807767403023,77.1592735524762,Sewage Leakage,Critical,In Progress,2025-05-09
6,Delhi,New Delhi,28.59320671968144,77.16608088232294,Traffic Congestion,Medium,In Progress,2025-05-08
7,Delhi,New Delhi,28.655557047348225,77.19446751366384,Electricity Problem,Low,In Progress,2025-08-07
8,Delhi,New Delhi,28.56572313787784,77.21773640210606,Water Supply Issue,Low,Resolved,2025-06-29
9,Delhi,New Delhi,28.601778440396703,77.16939022995422,Garbage Collection,Low,Resolved,2025-04-04
10,Delhi,New Delhi,28.601180725265994,77.15905283438359,Sewage Leakage,Medium,Open,2025-08-27
11,Delhi,New Delhi,28.609712885736947,77.23383392571759,Garbage Collection,Critical,In Progress,2025-11-27
12,Delhi,New Delhi,28.590885275949354,77.24476302500226,Public Transport Issue,Critical,In Progress,2025-09-27
13,Delhi,New Delhi,28.590343312077483,77.2312466406173,Road Damage,Medium,In Progress,2025-12-27
14,Delhi,New Delhi,28.582374426562687,77.2476495059981,Water Supply Issue,Low,Open,2025-06-07
15,Delhi,New Delhi,28.62989608071524,77.15942969461949,Water Supply Issue,Medium,In Progress,2025-05-23
16,Delhi,New Delhi,28.652585977808954,77.21215862767146,Sewage Leakage,Medium,Open,2025-09-04
17,Delhi,New Delhi,28.58111947039087,77.22437959566047,Garbage Collection,Critical,In Progress,2025-05-23
18,Delhi,New Delhi,28.656475241503095,77.24577934687991,Road Damage,Critical,Open,2025-07-30
19,Delhi,New Delhi,28.63024399861481,77.23401160767393,Road Damage,Medium,Resolved,2025-06-21
20,Delhi,New Delhi,28.591839516636664,77.24421209240313,Traffic Congestion,Critical,Open,2025-11-29
21,Delhi,New Delhi,28.581625686764845,77.21241444450295,Streetlight Failure,Medium,In Progress,2025-09-01
22,Delhi,New Delhi,28.63446900021273,77.20859576447742,Sewage Leakage,Medium,Open,2025-11-22
23,Delhi,New Delhi,28.654409843084668,77.16456320259205,Water Supply Issue,Critical,Open,2025-10-23
24,Delhi,New Delhi,28.605441491152792,77.21911049995455,Road Damage,Critical,Resolved,2025-04-26
25,Delhi,New Delhi,28.56817899222509,77.1882332652754,Traffic Congestion,Critical,Resolved,2026-03-04
26,Delhi,New Delhi,28.59039712618005,77.19641615252344,Public Transport Issue,Medium,In Progress,2025-07-24
27,Delhi,New Delhi,28.6170618442791,77.23260172499629,Water Supply Issue,High,Resolved,2025-11-08
28,Delhi,New Delhi,28.642782701800076,77.22770779631202,Water Supply Issue,Critical,In Progress,2025-08-17
29,Delhi,New Delhi,28.569195152478525,77.20041515278328,Sewage Leakage,Critical,In Progress,2025-12-04
30,Delhi,New Delhi,28.62677223616356,77.22004794326631,Traffic Congestion,Low,Open,2025-12-07
31,Delhi,New Delhi,28.58473762500812,77.22920221586403,Water Supply Issue,Medium,Open,2025-12-23
32,Delhi,New Delhi,28.66182425550599,77.1980075567088,Streetlight Failure,Critical,In Progress,2025-06-15
33,Delhi,New Delhi,28.585942339653332,77.21520176199854,Public Transport Issue,High,In Progress,2026-03-08
34,Delhi,New Delhi,28.601741098608613,77.24484755685259,Traffic Congestion,Medium,Open,2026-01-02
35,Delhi,New Delhi,28.618568902064816,77.23495625005636,Public Transport Issue,High,Resolved,2025-05-11
36,Delhi,New Delhi,28.60495002773747,77.1883675303062,Water Supply Issue,Medium,Open,2026-02-11
37,Delhi,New Delhi,28.63261768033868,77.25752021684617,Traffic Congestion,Critical,In Progress,2025-07-05
38,Delhi,New Delhi,28.64774727520145,77.24518921915829,Traffic Congestion,Critical,In Progress,2025-09-17
39,Delhi,New Delhi,28.584178910419098,77.25076876975159,Water Supply Issue,High,Open,2025-12-30
40,Delhi,New Delhi,28.640094443597267,77.24603927380505,Sewage Leakage,Low,Open,2026-02-21
